impd,psd,est_ha,lci95_ha,uci95_ha,cpe,lci95_cpe,uci95_cpe
Milford,st,20.14281461,9.540034332,46.06764582,78.3928029,56.70105224,104.1343663
Milford,qu,2.104823096,0.861919351,5.201748065,14.75288911,9.694297729,20.53833582
Milford,pr,0.205608176,0.074962921,0.49682216,3.18199569,1.301725509,5.351538206
Milford,me,0.146995194,0.044576717,0.286895131,2.458814851,0.867817006,4.628357367
El Dorado,st,10.1372775,7.551684875,12.72256125,103.7227723,72.47826595,144.3413435
El Dorado,qu,3.818003875,2.61864225,5.778742375,44.07920792,27.09212734,67.12871287
El Dorado,pr,0.0135905,0.002779875,0.0135905,0.475247525,0.118811881,0.95049505
El Dorado,me,0,0,0,0,0,0
Tuttle Creek,st,2.788320191,2.125998354,3.694301392,25.88372093,16.2575864,39.83189196
Tuttle Creek,qu,1.456169682,1.087083608,1.98524519,14.86046512,7.60642361,25.11450662
Tuttle Creek,pr,0.152013417,0.092271519,0.28479057,1.88372093,0.350609656,3.837209302
Tuttle Creek,me,0.032373228,0.006724873,0.032373228,0.209302326,0,0.558139535
Wolf Creek,st,5.060220392,3.633823529,7.254565294,23.2160804,18.15228573,28.7638191
Wolf Creek,qu,5.422633726,2.220508431,13.40105667,7.35678392,5.125628141,9.94821678
Wolf Creek,pr,0.889075491,0.189443333,0.88907549,1.989949749,1.206030151,2.894472362
Wolf Creek,me,0.018895883,0.003876078,0.018895882,0.422110553,0.180904523,0.72361809
