mgrp,count,tot,prop,type,impd
300,219,1442,0.151872399445215,Tagged,MILR
400,649,1442,0.450069348127601,Tagged,MILR
500,295,1442,0.204576976421637,Tagged,MILR
600,86,1442,0.0596393897364771,Tagged,MILR
700,37,1442,0.0256588072122053,Tagged,MILR
800,58,1442,0.0402219140083218,Tagged,MILR
900,70,1442,0.0485436893203884,Tagged,MILR
1000,22,1442,0.0152565880721221,Tagged,MILR
1100,6,1442,0.00416088765603329,Tagged,MILR
300,3,46,0.0652173913043478,Returned,MILR
400,11,46,0.239130434782609,Returned,MILR
500,9,46,0.195652173913043,Returned,MILR
600,4,46,0.0869565217391304,Returned,MILR
700,6,46,0.130434782608696,Returned,MILR
800,5,46,0.108695652173913,Returned,MILR
900,4,46,0.0869565217391304,Returned,MILR
1000,2,46,0.0434782608695652,Returned,MILR
1100,2,46,0.0434782608695652,Returned,MILR
300,77,1987,0.038751887267237,Tagged,ELDR
400,892,1987,0.448917966784097,Tagged,ELDR
500,920,1987,0.463009562154001,Tagged,ELDR
600,74,1987,0.0372420734776044,Tagged,ELDR
700,18,1987,0.00905888273779567,Tagged,ELDR
800,5,1987,0.00251635631605435,Tagged,ELDR
900,1,1987,0.000503271263210871,Tagged,ELDR
1000,0,,,Tagged,ELDR
1100,0,,,Tagged,ELDR
300,1,81,0.0123456790123457,Returned,ELDR
400,17,81,0.209876543209877,Returned,ELDR
500,47,81,0.580246913580247,Returned,ELDR
600,14,81,0.17283950617284,Returned,ELDR
700,2,81,0.0246913580246914,Returned,ELDR
800,0,,,Returned,ELDR
900,0,,,Returned,ELDR
1000,0,,,Returned,ELDR
1100,0,,,Returned,ELDR
300,103,2069,0.0497825036249396,Tagged,TCRR
400,420,2069,0.202996616723055,Tagged,TCRR
500,536,2069,0.259062348960851,Tagged,TCRR
600,594,2069,0.287095215079749,Tagged,TCRR
700,236,2069,0.11406476558724,Tagged,TCRR
800,145,2069,0.0700821652972451,Tagged,TCRR
900,31,2069,0.0149830836152731,Tagged,TCRR
1000,4,2069,0.00193330111164814,Tagged,TCRR
1100,0,,,Tagged,TCRR
300,1,45,0.0222222222222222,Returned,TCRR
400,5,45,0.111111111111111,Returned,TCRR
500,11,45,0.244444444444444,Returned,TCRR
600,12,45,0.266666666666667,Returned,TCRR
700,5,45,0.111111111111111,Returned,TCRR
800,6,45,0.133333333333333,Returned,TCRR
900,4,45,0.0888888888888889,Returned,TCRR
1000,1,45,0.0222222222222222,Returned,TCRR
1100,0,,,Returned,TCRR
300,385,919,0.418933623503809,Tagged,WLFC
400,162,919,0.176278563656148,Tagged,WLFC
500,62,919,0.0674646354733406,Tagged,WLFC
600,173,919,0.188248095756257,Tagged,WLFC
700,108,919,0.117519042437432,Tagged,WLFC
800,27,919,0.029379760609358,Tagged,WLFC
900,2,919,0.00217627856365615,Tagged,WLFC
1000,0,,,Tagged,WLFC
1100,0,,,Tagged,WLFC
300,1,17,0.0588235294117647,Returned,WLFC
400,2,17,0.117647058823529,Returned,WLFC
500,1,17,0.0588235294117647,Returned,WLFC
600,5,17,0.294117647058824,Returned,WLFC
700,7,17,0.411764705882353,Returned,WLFC
800,0,,,Returned,WLFC
900,1,17,0.0588235294117647,Returned,WLFC
1000,0,,,Returned,WLFC
1100,0,,,Returned,WLFC
