impd,mgrp,num_tagged,tot_tagged,num_returned,tot_returned
MILR,300,219,1442,3,46
MILR,400,649,1442,11,46
MILR,500,295,1442,9,46
MILR,600,86,1442,4,46
MILR,700,37,1442,6,46
MILR,800,58,1442,5,46
MILR,900,70,1442,4,46
MILR,1000,22,1442,2,46
MILR,1100,6,1442,2,46
ELDR,300,77,1987,1,81
ELDR,400,892,1987,17,81
ELDR,500,920,1987,47,81
ELDR,600,74,1987,14,81
ELDR,700,18,1987,2,81
ELDR,800,5,1987,0,81
ELDR,900,1,1987,0,81
ELDR,1000,0,1987,0,81
ELDR,1100,0,1987,0,81
TCRR,300,103,2069,1,45
TCRR,400,420,2069,5,45
TCRR,500,536,2069,11,45
TCRR,600,594,2069,12,45
TCRR,700,236,2069,5,45
TCRR,800,145,2069,6,45
TCRR,900,31,2069,4,45
TCRR,1000,4,2069,1,45
TCRR,1100,0,2069,0,45
WLFC,300,385,919,1,17
WLFC,400,162,919,2,17
WLFC,500,62,919,1,17
WLFC,600,173,919,5,17
WLFC,700,108,919,7,17
WLFC,800,27,919,0,17
WLFC,900,2,919,1,17
WLFC,1000,0,919,0,17
WLFC,1100,0,919,0,17
